token,attribution,model
",",-1.9258573e-09,Late Fusion
implementing,-4.74787e-09,Late Fusion
",",1.554994e-09,Late Fusion
documenting,-7.1671415e-09,Late Fusion
",",-2.6846405e-09,Late Fusion
monitoring,-2.8919693e-09,Late Fusion
and,4.451753e-10,Late Fusion
maintaining,-1.4720047e-09,Late Fusion
the,-1.2658864e-09,Late Fusion
data,-1.5816757e-09,Late Fusion
warehouse,5.0632547e-09,Late Fusion
extracts,6.1058925e-10,Late Fusion
",",-2.6499176e-09,Late Fusion
transformations,-3.3764866e-09,Late Fusion
and,-7.297642e-10,Late Fusion
et,5.8547034e-10,Late Fusion
##l,-6.704569e-10,Late Fusion
process,-1.3773068e-09,Late Fusion
in,-1.8245851e-09,Late Fusion
various,-6.213889e-10,Late Fusion
industries,2.2624418e-09,Late Fusion
like,-9.165874e-09,Late Fusion
financial,-8.716128e-11,Late Fusion
",",-3.199836e-09,Late Fusion
health,1.2624117e-09,Late Fusion
care,-1.2535052e-09,Late Fusion
and,-4.5817345e-09,Late Fusion
retail,-1.309921e-10,Late Fusion
industry,1.3486159e-09,Late Fusion
with,-5.001281e-09,Late Fusion
##sal,-1.0673866e-09,Late Fusion
##es,3.890217e-10,Late Fusion
",",-2.2056905e-09,Late Fusion
marketing,-3.4579535e-09,Late Fusion
",",-3.6401884e-09,Late Fusion
inventory,-1.6601325e-09,Late Fusion
management,-2.9016203e-09,Late Fusion
",",-5.124612e-09,Late Fusion
supply,-8.598211e-10,Late Fusion
chain,-1.2113084e-09,Late Fusion
and,-3.752084e-09,Late Fusion
financed,4.662133e-10,Late Fusion
##oma,-7.2222417e-10,Late Fusion
##ins,1.4916398e-09,Late Fusion
.,2.6921083e-09,Late Fusion
delivered,2.2321844e-10,Late Fusion
bi,4.3632697e-10,Late Fusion
reporting,-1.0715828e-09,Late Fusion
solutions,6.542795e-10,Late Fusion
in,2.8714256e-10,Late Fusion
power,-2.7503153e-09,Late Fusion
bi,2.0907707e-09,Late Fusion
",",-4.1549963e-09,Late Fusion
reporting,-2.6158462e-09,Late Fusion
services,-2.7826514e-09,Late Fusion
(,-1.7501312e-09,Late Fusion
ssr,-2.1155309e-09,Late Fusion
##s,-3.668635e-10,Late Fusion
),-4.228693e-09,Late Fusion
.,2.0442303e-09,Late Fusion
expertise,-2.4793194e-09,Late Fusion
ind,-1.9514137e-09,Late Fusion
##ata,-5.398497e-09,Late Fusion
ware,-2.2295521e-10,Late Fusion
##ho,-1.0351734e-09,Late Fusion
##using,-3.0148963e-09,Late Fusion
architecture,6.135836e-11,Late Fusion
##sin,2.6082507e-09,Late Fusion
##cl,-8.299794e-11,Late Fusion
##uding,-2.2849289e-10,Late Fusion
##et,-1.7248755e-09,Late Fusion
##lde,-1.7861985e-09,Late Fusion
##si,-4.6172604e-09,Late Fusion
##gn,1.5491562e-09,Late Fusion
",",1.965196e-09,Late Fusion
staging,-1.6219142e-09,Late Fusion
",",-4.150121e-09,Late Fusion
transformations,2.2799518e-09,Late Fusion
",",2.6861824e-09,Late Fusion
delta,6.0149175e-09,Late Fusion
/,-5.7452243e-09,Late Fusion
change,-2.2615687e-11,Late Fusion
data,-1.0632676e-09,Late Fusion
##cap,-5.7067666e-09,Late Fusion
##ture,1.3972656e-10,Late Fusion
",",-5.553789e-09,Late Fusion
star,-1.2899246e-09,Late Fusion
-,-8.760793e-09,Late Fusion
sc,-1.7280044e-09,Late Fusion
##hema,-4.3692276e-09,Late Fusion
##s,-1.2380948e-09,Late Fusion
",",-4.7023345e-09,Late Fusion
cube,-1.8350202e-09,Late Fusion
##s,-2.3683997e-09,Late Fusion
and,-3.41618e-09,Late Fusion
##his,-8.641518e-09,Late Fusion
##tory,-3.5561738e-09,Late Fusion
##loading,-9.965686e-10,Late Fusion
##ski,-2.6491818e-09,Late Fusion
##lled,-4.2859063e-09,Late Fusion
in,-6.7126873e-09,Late Fusion
writing,-5.2185523e-09,Late Fusion
##t,-2.7883753e-09,Late Fusion
-,2.1991529e-09,Late Fusion
sql,-4.6206092e-09,Late Fusion
que,-1.085444e-08,Late Fusion
##ries,-3.666959e-10,Late Fusion
",",-4.117694e-09,Late Fusion
dynamic,-6.7591968e-09,Late Fusion
-,-2.3445197e-09,Late Fusion
que,-8.810035e-09,Late Fusion
##ries,-2.2488905e-10,Late Fusion
",",-4.1166492e-09,Late Fusion
sub,-2.3044358e-09,Late Fusion
-,-1.5841581e-09,Late Fusion
que,-4.4980064e-09,Late Fusion
##ries,3.2795726e-09,Late Fusion
and,-3.2428304e-09,Late Fusion
joins,-3.8623926e-09,Late Fusion
for,-1.382311e-08,Late Fusion
generating,-2.3670252e-09,Late Fusion
##stor,-7.534753e-09,Late Fusion
##ed,-8.982839e-10,Late Fusion
procedures,-9.062205e-09,Late Fusion
",",-2.968998e-09,Late Fusion
triggers,-2.3859696e-09,Late Fusion
",",-1.2587196e-09,Late Fusion
user,3.7642853e-09,Late Fusion
-,-8.5977914e-10,Late Fusion
defined,-2.5757045e-09,Late Fusion
functions,1.2947622e-09,Late Fusion
",",-4.8545887e-09,Late Fusion
views,-9.561474e-10,Late Fusion
and,-7.1868222e-09,Late Fusion
cu,-5.230223e-09,Late Fusion
##rso,1.5309398e-10,Late Fusion
##rs,3.2011218e-09,Late Fusion
.,-1.55474e-08,Late Fusion
experience,-3.5677092e-09,Late Fusion
with,-2.4192659e-08,Late Fusion
all,-1.38769085e-08,Late Fusion
phases,4.7737117e-08,Late Fusion
of,4.8650428e-08,Late Fusion
software,6.031652e-08,Late Fusion
development,-1.5436588e-09,Late Fusion
life,-3.027381e-09,Late Fusion
cycle,-4.754754e-09,Late Fusion
(,-9.2169505e-10,Late Fusion
sd,3.370216e-09,Late Fusion
##lc,2.9581222e-09,Late Fusion
),-4.252515e-09,Late Fusion
and,-2.0391882e-09,Late Fusion
agile,-8.320306e-09,Late Fusion
method,-1.1589786e-08,Late Fusion
##ologies,-2.176694e-08,Late Fusion
.,-1.1410615e-08,Late Fusion
have,2.5067326e-09,Late Fusion
delivered,-7.1045116e-09,Late Fusion
as,-4.4855195e-09,Late Fusion
a,-6.980607e-08,Late Fusion
team,-4.3451536e-09,Late Fusion
member,-2.1866438e-09,Late Fusion
",",-2.5834206e-09,Late Fusion
team,-2.0288393e-09,Late Fusion
lead,-3.985788e-09,Late Fusion
and,3.6255408e-09,Late Fusion
as,-7.639759e-09,Late Fusion
an,-3.6148853e-10,Late Fusion
independent,-2.9989167e-09,Late Fusion
consultant,-6.946559e-10,Late Fusion
on,-5.3971174e-09,Late Fusion
medium,-5.7375233e-09,Late Fusion
to,-9.3364925e-09,Late Fusion
large,-6.8408434e-09,Late Fusion
scale,-5.0426183e-09,Late Fusion
projects,-3.9715147e-09,Late Fusion
.,-4.648535e-09,Late Fusion
skills,-3.3314587e-09,Late Fusion
##da,-1.7251083e-09,Late Fusion
##ta,-2.5004145e-09,Late Fusion
/,-6.7227945e-10,Late Fusion
business,-1.7876636e-09,Late Fusion
/,4.344078e-09,Late Fusion
systems,-2.3957476e-09,Late Fusion
##to,1.6758028e-09,Late Fusion
##ols,2.6361238e-09,Late Fusion
:,3.358838e-09,Late Fusion
ms,2.010429e-09,Late Fusion
sql,8.9132195e-09,Late Fusion
server,3.4779504e-09,Late Fusion
integration,5.3179328e-09,Late Fusion
(,-6.605447e-09,Late Fusion
ss,7.93872e-09,Late Fusion
##is,-9.867508e-09,Late Fusion
),-4.9047824e-09,Late Fusion
",",-5.1295994e-09,Late Fusion
analysis,-3.1157263e-09,Late Fusion
services,-3.8418406e-09,Late Fusion
