token,attribution,model
delta,6.939789e-05,Cross-Attention
/,6.6105174e-05,Cross-Attention
change,3.6370686e-05,Cross-Attention
data,8.374852e-05,Cross-Attention
##cap,4.1090563e-05,Cross-Attention
##ture,7.551964e-06,Cross-Attention
",",1.0793397e-05,Cross-Attention
star,-7.156988e-05,Cross-Attention
-,0.00019266845,Cross-Attention
sc,-1.893629e-05,Cross-Attention
##hema,0.00011098196,Cross-Attention
##s,3.182443e-05,Cross-Attention
",",4.4555352e-05,Cross-Attention
cube,5.3476087e-05,Cross-Attention
##s,-1.3256595e-06,Cross-Attention
and,4.555257e-05,Cross-Attention
##his,-0.0001369477,Cross-Attention
##tory,0.00010038797,Cross-Attention
##loading,4.7764697e-06,Cross-Attention
##ski,-0.00013517271,Cross-Attention
##lled,6.8952013e-06,Cross-Attention
in,-2.1307205e-06,Cross-Attention
writing,1.5324458e-05,Cross-Attention
##t,6.099634e-05,Cross-Attention
-,0.00013586124,Cross-Attention
sql,-3.0882493e-05,Cross-Attention
que,-2.4784826e-05,Cross-Attention
##ries,1.7330694e-05,Cross-Attention
",",6.384028e-05,Cross-Attention
dynamic,0.00010836633,Cross-Attention
-,0.00011957518,Cross-Attention
que,-8.638661e-06,Cross-Attention
##ries,-9.052269e-06,Cross-Attention
",",0.00014040021,Cross-Attention
sub,5.4981214e-05,Cross-Attention
-,7.99353e-05,Cross-Attention
que,8.218702e-05,Cross-Attention
##ries,3.7589753e-06,Cross-Attention
and,0.00013163874,Cross-Attention
joins,4.028443e-06,Cross-Attention
for,6.146406e-05,Cross-Attention
generating,0.000102811944,Cross-Attention
##stor,6.409289e-06,Cross-Attention
##ed,3.1001873e-05,Cross-Attention
procedures,5.985349e-05,Cross-Attention
",",6.521196e-05,Cross-Attention
triggers,-0.00021992897,Cross-Attention
",",3.0150039e-05,Cross-Attention
user,-6.449518e-05,Cross-Attention
-,0.00027997105,Cross-Attention
defined,0.00012216755,Cross-Attention
functions,8.395099e-05,Cross-Attention
",",0.000120806304,Cross-Attention
views,2.0573952e-05,Cross-Attention
and,6.786893e-05,Cross-Attention
cu,-4.010178e-05,Cross-Attention
##rso,0.00011109843,Cross-Attention
##rs,1.6122553e-05,Cross-Attention
.,0.00011672045,Cross-Attention
experience,-4.0218496e-05,Cross-Attention
with,-4.275534e-05,Cross-Attention
all,6.1547056e-05,Cross-Attention
phases,-0.0003141341,Cross-Attention
of,0.00066540146,Cross-Attention
software,8.126498e-05,Cross-Attention
development,8.460608e-05,Cross-Attention
life,2.6263937e-05,Cross-Attention
cycle,7.776459e-05,Cross-Attention
(,7.379486e-05,Cross-Attention
sd,6.1303115e-05,Cross-Attention
##lc,3.1535048e-05,Cross-Attention
),0.00016839441,Cross-Attention
and,7.417268e-05,Cross-Attention
agile,-0.00018724235,Cross-Attention
method,0.00014411315,Cross-Attention
##ologies,0.0001022058,Cross-Attention
.,0.00013372322,Cross-Attention
have,5.4205255e-05,Cross-Attention
delivered,1.5991776e-05,Cross-Attention
as,7.688269e-05,Cross-Attention
a,5.5709024e-05,Cross-Attention
team,-4.8759914e-05,Cross-Attention
member,-2.1797285e-05,Cross-Attention
",",7.9504214e-05,Cross-Attention
team,-4.2133615e-05,Cross-Attention
lead,1.5640177e-05,Cross-Attention
and,0.00010405945,Cross-Attention
as,7.478254e-05,Cross-Attention
an,4.5400255e-05,Cross-Attention
independent,9.199317e-05,Cross-Attention
consultant,-1.8166938e-05,Cross-Attention
on,8.181281e-05,Cross-Attention
medium,0.00010515334,Cross-Attention
to,7.5376374e-05,Cross-Attention
large,6.323018e-05,Cross-Attention
scale,7.638459e-05,Cross-Attention
projects,2.929714e-05,Cross-Attention
.,0.00013538396,Cross-Attention
skills,0.00015484737,Cross-Attention
##da,2.0965563e-05,Cross-Attention
##ta,7.0522496e-05,Cross-Attention
/,0.00011048903,Cross-Attention
business,5.4800545e-05,Cross-Attention
/,0.00016100831,Cross-Attention
systems,5.887716e-05,Cross-Attention
##to,0.00011663623,Cross-Attention
##ols,-1.1615553e-05,Cross-Attention
:,8.608977e-05,Cross-Attention
ms,0.00012353722,Cross-Attention
sql,1.2158069e-05,Cross-Attention
server,3.888981e-06,Cross-Attention
integration,5.333769e-05,Cross-Attention
(,6.594505e-05,Cross-Attention
ss,-6.7581313e-06,Cross-Attention
##is,2.6613337e-05,Cross-Attention
),5.7528923e-05,Cross-Attention
",",0.00011178536,Cross-Attention
analysis,0.00011058817,Cross-Attention
services,7.4472766e-05,Cross-Attention
