skill,impact,gate_text,gate_graph,text_score,graph_score
databases,0.00016984343528747559,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
powershell,0.00016745924949645996,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
logging,0.0001659691333770752,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
stored procedures,0.00016453862190246582,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
initiative,0.00016227364540100098,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
scripting,0.0001596510410308838,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
sql server,0.00015851855278015137,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
systems,0.00015786290168762207,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
agile methodologies,0.00015723705291748047,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
sql,0.00015312433242797852,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
performance tuning,0.00014612078666687012,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
oracle,0.0001304149627685547,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
devops,0.0001233220100402832,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
process improvements,0.00012183189392089844,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
sql queries,9.53376293182373e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
services,8.732080459594727e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
ms sql server,8.547306060791016e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data,8.222460746765137e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
efficiency,7.656216621398926e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
administration,5.587935447692871e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
technologies,4.8488378524780273e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
tools,4.4405460357666016e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
database,3.936886787414551e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
analytical,2.9295682907104492e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
system performance,-9.149312973022461e-06,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
team lead,-5.1409006118774414e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
writing,-5.9217214584350586e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
system specifications,-6.899237632751465e-05,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
