token,attribution,model
.,-1.7910952e-11,MoE
skills,-2.051303e-11,MoE
##da,8.7107e-12,MoE
##ta,9.131825e-13,MoE
/,-1.6965547e-11,MoE
business,1.4729312e-11,MoE
/,-1.1449682e-11,MoE
systems,-7.216133e-12,MoE
##to,-1.1560424e-11,MoE
##ols,-2.0124523e-12,MoE
:,-1.6736511e-11,MoE
ms,1.39923975e-11,MoE
sql,8.235254e-12,MoE
server,1.6854153e-12,MoE
integration,1.6281006e-11,MoE
(,-3.67503e-12,MoE
ss,1.6596043e-12,MoE
##is,-3.0956314e-12,MoE
),-8.729433e-12,MoE
",",-1.074296e-12,MoE
analysis,8.858176e-12,MoE
services,2.3886258e-12,MoE
